player,team,conference,season,category,playerId,position_stat,LONG,REC,TD,YDS,YPR,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,receiving_score,usage_pct,production_pct,impact_score,impact_percentile,outcome,CAR,YPC,rushing_score
Donta Whack,Robert Morris,NEC,2025,rushing,4837348,RB,20,,2,262,,donta whack,RB,115263,4837348.0,HighSchool,2022.0,1851.0,Donta Whack,Seminole,Massachusetts,RB,71.0,205.0,3.0,0.8283,Sanford,FL,USA,"{'latitude': 28.8117297, 'longitude': -81.2680345, 'fipsCode': '12117'}",2022.0,4.0,robert morris,massachusetts,0,0,,0.5010224948875256,0.492842535787321,0.4961145194274029,0.492842535787321,Depth / Rotation,69.0,3.8,440.0
Donte Hawthorne,Virginia,ACC,2023,rushing,5075026,RB,10,,0,16,,donte hawthorne,RB,112587,5075026.0,HighSchool,2023.0,1347.0,Donte Hawthorne,Colonial Forge,Virginia,RB,72.0,200.0,3.0,0.8517,Stafford,VA,USA,"{'latitude': 38.4222681, 'longitude': -77.4084067, 'fipsCode': '51179'}",2023.0,1.0,virginia,virginia,1,0,,0.5007849293563579,0.1687598116169544,0.3015698587127158,0.1687598116169544,Bust,4.0,4.0,24.0
Donte Hawthorne,Virginia,ACC,2024,rushing,5075026,RB,12,,0,12,,donte hawthorne,RB,112587,5075026.0,HighSchool,2023.0,1347.0,Donte Hawthorne,Colonial Forge,Virginia,RB,72.0,200.0,3.0,0.8517,Stafford,VA,USA,"{'latitude': 38.4222681, 'longitude': -77.4084067, 'fipsCode': '51179'}",2023.0,2.0,virginia,virginia,1,0,,0.5006544502617801,0.0660994764397905,0.2399214659685864,0.0660994764397905,Bust,1.0,12.0,14.0
Drake Anderson,Northwestern,Big Ten,2018,rushing,4361263,RB,11,,0,36,,drake anderson,RB,127718,4361263.0,HighSchool,2018.0,1449.0,Drake Anderson,Chandler,Northwestern,RB,71.0,180.0,3.0,0.8361,Chandler,AZ,USA,"{'latitude': 33.3062223, 'longitude': -111.8413317, 'fipsCode': '04013'}",2018.0,1.0,northwestern,northwestern,1,0,,0.5007849293563579,0.3233908948194662,0.3943485086342229,0.3233908948194662,Depth / Rotation,12.0,3.0,60.0
Drake Anderson,Northwestern,Big Ten,2019,rushing,4361263,RB,31,,3,633,,drake anderson,RB,127718,4361263.0,HighSchool,2018.0,1449.0,Drake Anderson,Chandler,Northwestern,RB,71.0,180.0,3.0,0.8361,Chandler,AZ,USA,"{'latitude': 33.3062223, 'longitude': -111.8413317, 'fipsCode': '04013'}",2018.0,2.0,northwestern,northwestern,1,0,,0.5006544502617801,0.8612565445026178,0.7170157068062827,0.8612565445026178,Impact Player,154.0,4.1,1001.0
Drake Anderson,Northwestern,Big Ten,2020,rushing,4361263,RB,41,,2,256,,drake anderson,RB,127718,4361263.0,HighSchool,2018.0,1449.0,Drake Anderson,Chandler,Northwestern,RB,71.0,180.0,3.0,0.8361,Chandler,AZ,USA,"{'latitude': 33.3062223, 'longitude': -111.8413317, 'fipsCode': '04013'}",2018.0,3.0,northwestern,northwestern,1,0,,0.5007739938080495,0.5309597523219814,0.5188854489164086,0.5309597523219814,Depth / Rotation,62.0,4.1,420.0
Drake Anderson,Arizona,Pac-12,2021,rushing,4361263,RB,71,,1,385,,drake anderson,RB,127718,4361263.0,HighSchool,2018.0,1449.0,Drake Anderson,Chandler,Northwestern,RB,71.0,180.0,3.0,0.8361,Chandler,AZ,USA,"{'latitude': 33.3062223, 'longitude': -111.8413317, 'fipsCode': '04013'}",2018.0,4.0,arizona,northwestern,0,0,,0.5010224948875256,0.5603271983640081,0.5366053169734151,0.5603271983640081,Depth / Rotation,87.0,4.4,579.0
Duke Watson,Louisville,ACC,2024,rushing,5136049,RB,68,,7,597,,duke watson,RB,109079,5136049.0,HighSchool,2024.0,382.0,Duke Watson,Mary Persons,Louisville,RB,72.0,180.0,4.0,0.8983,Forsyth,GA,USA,"{'latitude': 33.0342974, 'longitude': -83.938242, 'fipsCode': '13207'}",2024.0,1.0,louisville,louisville,1,0,,0.5007849293563579,0.9215070643642072,0.7532182103610675,0.9215070643642072,Impact Player,67.0,8.9,871.0
Duke Watson,Louisville,ACC,2025,rushing,5136049,RB,15,,1,158,,duke watson,RB,109079,5136049.0,HighSchool,2024.0,382.0,Duke Watson,Mary Persons,Louisville,RB,72.0,180.0,4.0,0.8983,Forsyth,GA,USA,"{'latitude': 33.0342974, 'longitude': -83.938242, 'fipsCode': '13207'}",2024.0,2.0,louisville,louisville,1,0,,0.5006544502617801,0.4960732984293193,0.4979057591623037,0.4960732984293193,Depth / Rotation,49.0,3.2,276.0
Duncan Brune,Ohio,Mid-American,2024,rushing,5167252,RB,8,,1,84,,duncan brune,RB,110905,5167252.0,HighSchool,2024.0,2428.0,Duncan Brune,Cologne Crocodiles,Ohio,RB,70.5,195.0,3.0,0.823,Germany,,DEU,"{'latitude': None, 'longitude': None, 'fipsCode': None}",2024.0,1.0,ohio,ohio,1,0,,0.5007849293563579,0.5416012558869702,0.5252747252747252,0.5416012558869702,Depth / Rotation,26.0,3.2,156.0
Duncan Brune,Ohio,Mid-American,2025,rushing,5167252,RB,66,,8,585,,duncan brune,RB,110905,5167252.0,HighSchool,2024.0,2428.0,Duncan Brune,Cologne Crocodiles,Ohio,RB,70.5,195.0,3.0,0.823,Germany,,DEU,"{'latitude': None, 'longitude': None, 'fipsCode': None}",2024.0,2.0,ohio,ohio,1,0,,0.5006544502617801,0.8573298429319371,0.7146596858638743,0.8573298429319371,Impact Player,120.0,4.9,985.0
Durell Robinson,Charlotte,American Athletic,2023,rushing,4894661,RB,16,,1,166,,durell robinson,RB,111929,4894661.0,HighSchool,2023.0,674.0,Durell Robinson,St. Frances Academy,Charlotte,RB,72.0,195.0,3.0,0.8769,Baltimore,MD,USA,"{'latitude': 39.2908816, 'longitude': -76.610759, 'fipsCode': '24510'}",2023.0,1.0,charlotte,charlotte,1,0,,0.5007849293563579,0.6679748822605965,0.6010989010989011,0.6679748822605965,Starter,40.0,4.2,266.0
Durell Robinson,UConn,FBS Independents,2024,rushing,4894661,RB,68,,8,731,,durell robinson,RB,111929,4894661.0,HighSchool,2023.0,674.0,Durell Robinson,St. Frances Academy,Charlotte,RB,72.0,195.0,3.0,0.8769,Baltimore,MD,USA,"{'latitude': 39.2908816, 'longitude': -76.610759, 'fipsCode': '24510'}",2023.0,2.0,uconn,charlotte,0,0,,0.5006544502617801,0.8867801047120419,0.7323298429319373,0.8867801047120419,Impact Player,107.0,6.8,1105.0
Durell Robinson,Auburn,SEC,2025,rushing,4894661,RB,54,,1,57,,durell robinson,RB,111929,4894661.0,HighSchool,2023.0,674.0,Durell Robinson,St. Frances Academy,Charlotte,RB,72.0,195.0,3.0,0.8769,Baltimore,MD,USA,"{'latitude': 39.2908816, 'longitude': -76.610759, 'fipsCode': '24510'}",2023.0,3.0,auburn,charlotte,0,0,,0.5007739938080495,0.2461300309597523,0.3479876160990712,0.2461300309597523,Bust,3.0,19.0,83.0
Dusty Frampton,Cal Poly,Big Sky,2019,rushing,4570753,RB,3,,0,3,,dusty frampton,RB,130089,,HighSchool,2018.0,3821.0,Dusty Frampton,St. Mary's,,RB,71.0,213.0,2.0,0.6996,Stockton,CA,USA,"{'latitude': 37.9577016, 'longitude': -121.2907796, 'fipsCode': '06077'}",2018.0,2.0,cal poly,,0,0,,0.5006544502617801,0.0274869109947644,0.2167539267015707,0.0274869109947644,Bust,1.0,3.0,5.0
Dwight Phillips Jr.,Georgia,SEC,2024,rushing,5079561,RB,12,,1,33,,dwight phillips jr,RB,108941,5079561.0,HighSchool,2024.0,243.0,Dwight Phillips Jr.,Pebblebrook,Georgia,RB,71.0,170.0,4.0,0.9147,Mableton,GA,USA,"{'latitude': 33.8188333, 'longitude': -84.5822632, 'fipsCode': '13067'}",2024.0,1.0,georgia,georgia,1,0,,0.5007849293563579,0.3398744113029827,0.4042386185243328,0.3398744113029827,Depth / Rotation,6.0,5.5,65.0
Dwight Phillips Jr.,Georgia,SEC,2025,rushing,5079561,RB,23,,1,210,,dwight phillips jr,RB,108941,5079561.0,HighSchool,2024.0,243.0,Dwight Phillips Jr.,Pebblebrook,Georgia,RB,71.0,170.0,4.0,0.9147,Mableton,GA,USA,"{'latitude': 33.8188333, 'longitude': -84.5822632, 'fipsCode': '13067'}",2024.0,2.0,georgia,georgia,1,0,,0.5006544502617801,0.525523560209424,0.5155759162303665,0.525523560209424,Depth / Rotation,35.0,6.0,300.0
Dylan Betts-Pauley,Vanderbilt,SEC,2021,rushing,4432663,RB,0,,0,0,,dylan bettspauley,RB,254960,4432663.0,HighSchool,2021.0,1344.0,Dylan Betts-Pauley,Hoover,Vanderbilt,RB,72.0,215.0,3.0,0.8444,Hoover,AL,USA,"{'latitude': 33.3848933, 'longitude': -86.8070484, 'fipsCode': '01073'}",2021.0,1.0,vanderbilt,vanderbilt,1,0,,0.5007849293563579,0.0266875981161695,0.2163265306122449,0.0266875981161695,Bust,2.0,0.0,4.0
Dylan Carson,Air Force,Mountain West,2023,rushing,5151906,RB,68,,2,493,,dylan carson,RB,234829,,HighSchool,2022.0,2202.0,Dylan Carson,Marysville Pilchuck,Air Force,RB,72.0,195.0,3.0,0.81,Marysville,WA,USA,"{'latitude': 48.0517429, 'longitude': -122.1768209, 'fipsCode': '53061'}",2022.0,2.0,air force,air force,1,0,,0.5006544502617801,0.7290575916230366,0.6376963350785341,0.7290575916230366,Starter,68.0,7.3,669.0
