player,team,conference,season,category,playerId,position_stat,CAR,LONG,TD,YDS,YPC,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,rushing_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
Sean Patrick,Akron,Mid-American,2025,rushing,5146708,RB,69,25,1,274,4.0,sean patrick,RB,110072,5146708,HighSchool,2024.0,1421.0,Sean Patrick,Kenston,Akron,RB,69.0,165.0,3.0,0.855,Chagrin Falls,OH,USA,"{'latitude': 41.436589, 'longitude': -81.3855058, 'fipsCode': '39035'}",2024.0,2.0,akron,akron,1,0,432,0.5006544502617801,0.612565445026178,0.5678010471204189,0.612565445026178,Starter
Sean Tucker,Syracuse,ACC,2020,rushing,4430871,RB,138,40,4,638,4.6,sean tucker,RB,119262,4430871,HighSchool,2020.0,855.0,Sean Tucker,Calvert Hall College,Syracuse,RB,70.0,190.0,3.0,0.863,Towson,MD,USA,"{'latitude': 39.4018552, 'longitude': -76.602388, 'fipsCode': '24005'}",2020.0,1.0,syracuse,syracuse,1,0,994,0.5007849293563579,0.9387755102040817,0.7635792778649921,0.9387755102040817,Impact Player
Sean Tucker,Syracuse,ACC,2021,rushing,4430871,RB,246,56,12,1496,6.1,sean tucker,RB,119262,4430871,HighSchool,2020.0,855.0,Sean Tucker,Calvert Hall College,Syracuse,RB,70.0,190.0,3.0,0.863,Towson,MD,USA,"{'latitude': 39.4018552, 'longitude': -76.602388, 'fipsCode': '24005'}",2020.0,2.0,syracuse,syracuse,1,0,2228,0.5006544502617801,0.9921465968586387,0.7955497382198953,0.9921465968586387,Impact Player
Sean Tucker,Syracuse,ACC,2022,rushing,4430871,RB,206,60,11,1058,5.1,sean tucker,RB,119262,4430871,HighSchool,2020.0,855.0,Sean Tucker,Calvert Hall College,Syracuse,RB,70.0,190.0,3.0,0.863,Towson,MD,USA,"{'latitude': 39.4018552, 'longitude': -76.602388, 'fipsCode': '24005'}",2020.0,3.0,syracuse,syracuse,1,0,1690,0.5007739938080495,0.923374613003096,0.7543343653250775,0.923374613003096,Impact Player
Sean Tyler,Western Michigan,Mid-American,2019,rushing,4428732,RB,68,61,5,390,5.7,sean tyler,RB,123829,4428732,HighSchool,2019.0,1613.0,Sean Tyler,Rich Township,Western Michigan,RB,69.0,175.0,3.0,0.8341,Olympia Fields,IL,USA,"{'latitude': 41.5164045, 'longitude': -87.70289568910842, 'fipsCode': '17031'}",2019.0,1.0,western michigan,western michigan,1,0,626,0.5007849293563579,0.8712715855572999,0.7230769230769231,0.8712715855572999,Impact Player
Sean Tyler,Western Michigan,Mid-American,2020,rushing,4428732,RB,40,29,2,263,6.6,sean tyler,RB,123829,4428732,HighSchool,2019.0,1613.0,Sean Tyler,Rich Township,Western Michigan,RB,69.0,175.0,3.0,0.8341,Olympia Fields,IL,USA,"{'latitude': 41.5164045, 'longitude': -87.70289568910842, 'fipsCode': '17031'}",2019.0,2.0,western michigan,western michigan,1,0,383,0.5006544502617801,0.5831151832460733,0.550130890052356,0.5831151832460733,Depth / Rotation
Sean Tyler,Western Michigan,Mid-American,2021,rushing,4428732,RB,178,70,9,1150,6.5,sean tyler,RB,123829,4428732,HighSchool,2019.0,1613.0,Sean Tyler,Rich Township,Western Michigan,RB,69.0,175.0,3.0,0.8341,Olympia Fields,IL,USA,"{'latitude': 41.5164045, 'longitude': -87.70289568910842, 'fipsCode': '17031'}",2019.0,3.0,western michigan,western michigan,1,0,1686,0.5007739938080495,0.9210526315789473,0.7529411764705882,0.9210526315789473,Impact Player
Sean Tyler,Western Michigan,Mid-American,2022,rushing,4428732,RB,209,63,7,1027,4.9,sean tyler,RB,123829,4428732,HighSchool,2019.0,1613.0,Sean Tyler,Rich Township,Western Michigan,RB,69.0,175.0,3.0,0.8341,Olympia Fields,IL,USA,"{'latitude': 41.5164045, 'longitude': -87.70289568910842, 'fipsCode': '17031'}",2019.0,4.0,western michigan,western michigan,1,0,1585,0.5010224948875256,0.9079754601226994,0.7451942740286298,0.9079754601226994,Impact Player
Sean Tyler,Minnesota,Big Ten,2023,rushing,4428732,RB,61,19,0,242,4.0,sean tyler,RB,123829,4428732,HighSchool,2019.0,1613.0,Sean Tyler,Rich Township,Western Michigan,RB,69.0,175.0,3.0,0.8341,Olympia Fields,IL,USA,"{'latitude': 41.5164045, 'longitude': -87.70289568910842, 'fipsCode': '17031'}",2019.0,5.0,minnesota,western michigan,0,0,364,0.5016233766233766,0.461038961038961,0.4772727272727273,0.461038961038961,Depth / Rotation
Sedrick Alexander,Vanderbilt,SEC,2023,rushing,5030333,RB,96,27,4,370,3.9,sedrick alexander,RB,111981,5030333,HighSchool,2023.0,734.0,Sedrick Alexander,Austin LBJ,Vanderbilt,RB,68.0,190.0,3.0,0.8744,Austin,TX,USA,"{'latitude': 30.2711286, 'longitude': -97.7436995, 'fipsCode': '48453'}",2023.0,1.0,vanderbilt,vanderbilt,1,0,642,0.5007849293563579,0.8759811616954474,0.7259026687598116,0.8759811616954474,Impact Player
